epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.9172,1.18784,1.90213,1.46715,0.47418,0.51429,0.48506,0.26682,1.52889,1.82118,1.74519,0.0671571,0.000331746,0.000331746
2,54.5183,1.17606,1.5638,1.47835,0.52659,0.54322,0.51291,0.27727,1.50403,1.68456,1.72467,0.034157,0.000664917,0.000664917
3,82.7303,1.13997,1.47032,1.46719,0.52098,0.56914,0.53328,0.32497,1.33897,1.57122,1.60317,0.00115617,0.000997437,0.000997437
4,107.119,1.10541,1.41875,1.44251,0.53953,0.61603,0.57865,0.3468,1.39704,1.51688,1.67874,0.000997803,0.000997803,0.000997803
5,131.18,1.08417,1.36406,1.42868,0.58688,0.64513,0.64992,0.42852,1.14757,1.30164,1.44465,0.000996097,0.000996097,0.000996097
6,158.197,1.05974,1.3051,1.41883,0.55032,0.58496,0.55278,0.37136,1.12286,1.54155,1.41901,0.000993906,0.000993906,0.000993906
7,192.374,1.05223,1.29965,1.40406,0.56644,0.60188,0.58512,0.40459,1.00726,1.40189,1.40118,0.000991232,0.000991232,0.000991232
8,222.966,1.02748,1.25961,1.39835,0.64617,0.64834,0.67825,0.43559,1.22871,1.2201,1.46498,0.000988079,0.000988079,0.000988079
9,252.39,1.01828,1.23149,1.38246,0.68317,0.65711,0.71481,0.51353,0.94422,1.18023,1.3189,0.000984449,0.000984449,0.000984449
10,285.303,0.99748,1.19702,1.37436,0.66458,0.65785,0.6958,0.48611,1.03179,1.18018,1.36107,0.000980345,0.000980345,0.000980345
11,323.253,0.98705,1.17663,1.36736,0.62822,0.64019,0.6627,0.47178,0.94888,1.22819,1.32246,0.000975773,0.000975773,0.000975773
12,362.488,0.98264,1.17142,1.35603,0.68019,0.65521,0.70656,0.51956,0.84603,1.16185,1.27159,0.000970736,0.000970736,0.000970736
13,402.671,0.96087,1.13072,1.33943,0.69319,0.69799,0.74577,0.54955,0.88655,1.03256,1.29923,0.000965239,0.000965239,0.000965239
14,441.862,0.9622,1.12923,1.3434,0.62756,0.67684,0.70164,0.52105,0.83515,1.15623,1.2518,0.000959289,0.000959289,0.000959289
15,480.611,0.95915,1.12981,1.33799,0.72096,0.69254,0.76578,0.56447,0.91463,1.03004,1.30931,0.000952889,0.000952889,0.000952889
16,514.531,0.94157,1.10706,1.33364,0.6909,0.67083,0.73992,0.54558,0.89591,1.05127,1.29119,0.000946048,0.000946048,0.000946048
17,546.554,0.94499,1.0924,1.33904,0.71703,0.65784,0.74025,0.55579,0.86419,1.05922,1.28388,0.000938772,0.000938772,0.000938772
18,588.042,0.93334,1.07477,1.31677,0.72235,0.67366,0.76373,0.58122,0.82059,1.01718,1.26121,0.000931067,0.000931067,0.000931067
19,631.924,0.92856,1.06977,1.32467,0.6875,0.67698,0.742,0.56489,0.83779,1.03941,1.24613,0.000922942,0.000922942,0.000922942
20,676.091,0.91466,1.03263,1.30711,0.70482,0.71769,0.75952,0.55999,0.9117,1.01438,1.29236,0.000914405,0.000914405,0.000914405
21,718.209,0.92384,1.05692,1.31928,0.7418,0.7093,0.78447,0.58911,0.84236,0.9619,1.24175,0.000905463,0.000905463,0.000905463
22,761.026,0.91108,1.02466,1.30666,0.69981,0.68308,0.73627,0.55838,0.82714,1.03999,1.24921,0.000896127,0.000896127,0.000896127
23,804.749,0.90437,1.01682,1.30898,0.73325,0.68934,0.76537,0.57806,0.84193,0.9977,1.277,0.000886404,0.000886404,0.000886404
24,848.338,0.89857,0.99758,1.2965,0.73586,0.698,0.7831,0.58286,0.87814,0.98413,1.26237,0.000876305,0.000876305,0.000876305
25,891.677,0.88399,0.99401,1.28909,0.72399,0.68151,0.7512,0.57425,0.82124,1.01138,1.25958,0.000865839,0.000865839,0.000865839
26,935.111,0.89045,0.97557,1.28933,0.71981,0.71804,0.76874,0.59067,0.77312,0.96616,1.22173,0.000855018,0.000855018,0.000855018
27,977.229,0.88306,0.96287,1.289,0.71789,0.6897,0.73891,0.57286,0.75853,1.00232,1.20771,0.000843851,0.000843851,0.000843851
28,1019.37,0.88193,0.96305,1.28084,0.72214,0.7244,0.77964,0.58524,0.84248,0.96492,1.24343,0.000832349,0.000832349,0.000832349
29,1062,0.88074,0.94768,1.28515,0.73349,0.71955,0.79395,0.61918,0.79227,0.91899,1.22204,0.000820525,0.000820525,0.000820525
30,1104.19,0.87722,0.95618,1.27865,0.73761,0.73108,0.78692,0.61358,0.78397,0.94258,1.20871,0.000808389,0.000808389,0.000808389
31,1146.66,0.86327,0.95002,1.27277,0.72999,0.72991,0.79504,0.62318,0.73917,0.92134,1.18819,0.000795954,0.000795954,0.000795954
32,1191,0.86175,0.9327,1.27083,0.6794,0.72929,0.74679,0.56473,0.85075,0.99248,1.24523,0.000783231,0.000783231,0.000783231
